"date","confirmed_new","confirmed_total","deaths_new","deaths_total","recovered_new","recovered_total","active_new","active_total","tested_new","tested_total","hospitalised","hospitalised_intensive"
2020-02-25,0,0,0,0,0,0,0,0,5,5,1,0
2020-02-26,1,1,0,0,0,0,1,1,8,13,1,0
2020-02-27,0,1,0,0,0,0,0,1,10,23,1,0
2020-02-28,0,1,0,0,0,0,0,1,13,36,1,0
2020-02-29,0,1,0,0,0,0,0,1,8,44,1,0
2020-03-01,0,1,0,0,0,0,0,1,18,62,1,0
2020-03-02,1,2,0,0,0,0,1,2,22,84,1,0
2020-03-03,0,2,0,0,0,0,0,2,29,113,1,0
2020-03-04,1,3,0,0,0,0,1,3,36,149,1,0
2020-03-05,7,10,0,0,0,0,7,10,35,184,1,0
2020-03-06,0,10,0,0,0,0,0,10,71,255,1,0
2020-03-07,0,10,0,0,0,0,0,10,29,284,1,0
2020-03-08,0,10,0,0,0,0,0,10,20,304,1,0
2020-03-09,3,13,0,0,0,0,3,13,64,368,1,0
2020-03-10,2,15,0,0,0,0,2,15,57,425,1,0
2020-03-11,3,18,0,0,0,0,3,18,66,491,1,0
2020-03-12,40,58,0,0,0,0,40,58,131,622,1,0
2020-03-13,44,102,0,0,-1,1,43,101,183,805,0,0
2020-03-14,23,125,0,0,0,1,23,124,163,968,2,0
2020-03-15,76,201,0,0,0,1,76,200,496,1464,3,0
2020-03-16,25,226,0,0,0,1,25,225,305,1769,3,0
2020-03-17,22,248,0,0,0,1,22,247,191,1960,3,0
2020-03-18,28,276,0,0,0,1,28,275,539,2499,8,0
2020-03-19,28,304,0,0,-1,2,27,302,351,2850,10,0
2020-03-20,12,316,0,0,0,2,12,314,393,3243,14,2
2020-03-21,41,357,0,0,-2,4,39,353,637,3880,15,4
2020-03-22,13,370,0,0,-3,7,10,363,160,4040,17,6
2020-03-23,24,394,0,0,-1,8,23,386,495,4535,28,7
2020-03-24,75,469,1,1,0,8,74,460,1403,5938,29,7
2020-03-25,55,524,0,1,-3,11,52,512,1047,6985,34,7
2020-03-26,36,560,0,1,0,11,36,548,1139,8124,40,7
2020-03-27,65,625,0,1,-9,20,56,604,1253,9377,48,10
2020-03-28,39,664,2,3,0,20,37,641,1035,10412,56,10
2020-03-29,31,695,0,3,0,20,31,672,851,11263,79,13
2020-03-30,34,729,1,4,-6,26,27,699,1153,12416,91,13
2020-03-31,58,787,1,5,-7,33,50,749,1977,14393,95,15
2020-04-01,79,866,6,11,-12,45,61,810,1373,15766,85,16
2020-04-02,93,959,1,12,-3,48,89,899,2507,18273,90,16
2020-04-03,74,1033,1,13,-11,59,62,961,1532,19805,113,20
2020-04-04,62,1095,2,15,-3,62,57,1018,1186,20991,130,17
2020-04-05,11,1106,4,19,0,62,7,1025,861,21852,129,14
2020-04-06,42,1148,2,21,-7,69,33,1058,1680,23532,130,12
2020-04-07,36,1184,3,24,-3,72,30,1088,1273,24805,139,11
2020-04-08,23,1207,0,24,-11,83,12,1100,1607,26412,134,9
2020-04-09,51,1258,0,24,-10,93,41,1141,1471,27883,138,9
2020-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
